"﻿""Persoonskenmerken""",Marges,Perioden,"Rookgedrag, 12 jaar of ouder/Rookstatus/Rokers (%)","Rookgedrag, 12 jaar of ouder/Rookstatus/Ex-rokers (%)","Rookgedrag, 12 jaar of ouder/Rookstatus/Nooit-rokers (%)","Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder bevolking (%)","Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder rokers (%)","Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder bevolking (%)","Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder rokers (%)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigarettenrokers (%)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigaretten per dag per roker  (aantal)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Rookjaren huidige sigarettenrokers (aantal)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Stoppoging in afgelopen 12 maanden (%)","Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Rookjaren ex-sigarettenrokers (aantal)","Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Stopjaren ex-sigarettenrokers (aantal)",Meeroken onder niet-rokers/(Bijna) nooit (%),"Alcoholgebruik, 12 jaar of ouder/Drinkers/Glazen alcohol per dag per drinker (aantal)","Drugsgebruik, 12 jaar of ouder/Cannabisgebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Amfetaminegebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Ecstasygebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Cocaïnegebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Gebruik overige drugs/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Drugsgebruik totaal/Afgelopen jaar (%)","Lengte en gewicht/Opgegeven gewicht, 18 jaar of ouder (aantal)"
Positie: kind >= 18 jaar eenoudergezin,Waarde,2016,    33.4,    11.8,    54.8,    23.2,,     1.8,,    32.6,,,,,,,,    28.4,     2.8,     7.9,     4.5,     6.0,    28.4,    71.2
Positie: kind <18 jaar bij paar,Waarde,2016,     5.8,     3.1,    91.1,     2.0,,     0.0,,     4.7,,,,,,,     0.8,     4.8,     0.6,     0.7,     0.0,     1.1,     5.1,
Positie: kind >=18 jaar bij paar,Waarde,2016,    24.9,     8.2,    66.8,    15.0,    60.2,     2.5,    10.0,    24.6,     7.7,     6.6,    26.7,,,,     1.4,    16.2,     4.4,     8.5,     3.6,     4.6,    20.4,    74.3
Positie: ouder in eenoudergezin,Waarde,2016,    35.2,    25.7,    39.2,    30.3,,     8.2,,    34.8,,,,,,,     1.1,     4.2,     1.6,     2.1,     1.1,     0.3,     5.5,    76.0
Positie: partner in paar met kind,Waarde,2016,    23.1,    31.5,    45.4,    17.7,    76.6,     3.7,    16.1,    21.6,    10.3,    26.8,    35.7,    14.1,    14.6,,     1.1,     2.8,     0.4,     1.0,     0.6,     0.1,     3.8,    79.5
"Positie: partner paar <40, geen kind",Waarde,2016,    24.6,    20.5,    55.0,    17.2,,     2.7,,    23.8,,,,,,,     1.1,    10.9,     2.1,     6.8,     4.3,     2.8,    17.6,    76.3
"Positie: partner paar 40-65, geen kind",Waarde,2016,    22.4,    43.1,    34.4,    18.4,    82.1,     4.4,    19.8,    19.9,    12.4,    38.7,    34.9,    19.6,    21.7,,     1.4,     2.5,     0.0,     0.6,     0.2,     0.5,     3.1,    79.5
"Positie: partner paar >=65, geen kind",Waarde,2016,    11.6,    54.3,    34.1,     9.4,    81.1,     1.6,    14.2,     8.7,,,,    25.5,    29.9,,     1.3,     0.4,     0.2,     0.2,     0.2,     0.1,     0.6,    78.2
Positie: overig lid,Waarde,2016,    31.6,    20.7,    47.7,    23.0,,     5.9,,    30.4,,,,,,,     1.5,    19.6,     5.4,     9.3,     6.0,     6.7,    23.0,    73.6
Laag onderwijsniveau,Waarde,2016,    28.9,    35.8,    35.3,    25.0,    86.6,     6.0,    20.9,    27.0,    12.2,    35.0,    31.3,    23.4,    23.0,,     1.3,     4.7,     0.8,     1.2,     1.2,     0.9,     5.5,    78.3
Middelbaar onderwijsniveau,Waarde,2016,    25.4,    34.8,    39.8,    21.2,    83.4,     5.2,    20.3,    23.9,    11.7,    28.9,    32.4,    18.5,    19.8,,     1.2,     4.6,     0.7,     1.5,     1.2,     0.6,     6.2,    79.4
Hoog onderwijsniveau,Waarde,2016,    16.6,    34.6,    48.8,    10.1,    60.9,     1.8,    10.8,    14.3,     8.2,    26.9,    36.3,    16.2,    19.3,,     1.2,     5.5,     1.1,     3.0,     1.9,     1.1,     7.5,    76.8
Vermogen: 1e 20%-groep,Waarde,2016,    27.9,    27.2,    44.9,    20.1,    72.1,     3.6,    12.8,    26.5,     9.9,    22.7,    35.3,    15.2,    11.1,,     1.2,     8.8,     2.2,     4.4,     1.9,     1.7,    11.4,    79.2
