"Persoonskenmerken";"Marges";"Perioden";"Rookgedrag, 12 jaar of ouder/Rookstatus/Rokers (%)";"Rookgedrag, 12 jaar of ouder/Rookstatus/Ex-rokers (%)";"Rookgedrag, 12 jaar of ouder/Rookstatus/Nooit-rokers (%)";"Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder bevolking (%)";"Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder rokers (%)";"Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder bevolking (%)";"Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder rokers (%)";"Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigarettenrokers (%)";"Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigaretten per dag per roker  (aantal)";"Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Rookjaren huidige sigarettenrokers (aantal)";"Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Stoppoging in afgelopen 12 maanden (%)";"Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Rookjaren ex-sigarettenrokers (aantal)";"Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Stopjaren ex-sigarettenrokers (aantal)";"Meeroken onder niet-rokers/(Bijna) nooit (%)";"Alcoholgebruik, 12 jaar of ouder/Drinkers/Glazen alcohol per dag per drinker (aantal)";"Drugsgebruik, 12 jaar of ouder/Cannabisgebruik/Afgelopen jaar (%)";"Drugsgebruik, 12 jaar of ouder/Amfetaminegebruik/Afgelopen jaar (%)";"Drugsgebruik, 12 jaar of ouder/Ecstasygebruik/Afgelopen jaar (%)";"Drugsgebruik, 12 jaar of ouder/Cocaïnegebruik/Afgelopen jaar (%)";"Drugsgebruik, 12 jaar of ouder/Gebruik overige drugs/Afgelopen jaar (%)";"Drugsgebruik, 12 jaar of ouder/Drugsgebruik totaal/Afgelopen jaar (%)";"Lengte en gewicht/Opgegeven gewicht, 18 jaar of ouder (aantal)"
"Positie: ouder in eenoudergezin";"Waarde";"2020";"    34.5";"    25.7";"    39.8";"    26.6";"       .";"     4.6";"       .";"    34.2";"       .";"       .";"       .";"       .";"       .";"    78.7";"     1.0";"     6.3";"     1.0";"     3.8";"     1.0";"     1.8";"     9.7";"    76.5"
"Positie: partner in paar met kind";"Waarde";"2020";"    15.9";"    32.5";"    51.6";"    11.9";"    74.5";"     2.8";"    17.8";"    14.4";"    10.2";"    26.6";"    35.1";"    15.7";"    14.9";"    81.6";"     0.9";"     3.0";"     0.5";"     1.2";"     0.6";"     0.4";"     4.2";"    79.6"
"Positie: partner paar <40, geen kind";"Waarde";"2020";"    27.8";"    19.0";"    53.2";"    16.9";"    60.7";"     3.4";"    12.1";"    25.3";"       .";"       .";"       .";"       .";"       .";"    68.0";"     1.1";"    16.9";"     2.8";"     6.9";"     5.8";"     3.8";"    24.3";"    76.2"
"Positie: partner paar 40-65, geen kind";"Waarde";"2020";"    17.1";"    44.2";"    38.8";"    15.1";"    88.7";"     4.4";"    25.6";"    15.6";"    12.7";"    38.6";"    30.4";"    20.8";"    20.4";"    84.0";"     1.2";"     3.5";"     0.2";"     0.9";"     0.4";"     1.2";"     4.0";"    80.2"
"Positie: partner paar >=65, geen kind";"Waarde";"2020";"     8.5";"    58.5";"    32.9";"     7.4";"    86.2";"     0.5";"     5.9";"     6.7";"       .";"       .";"       .";"    25.6";"    30.5";"    89.0";"     1.2";"     0.7";"     0.1";"     0.0";"     0.0";"     0.3";"     1.0";"    78.2"
"Positie: overig lid";"Waarde";"2020";"    30.3";"    18.8";"    50.8";"    21.1";"       .";"     4.7";"       .";"    27.8";"       .";"       .";"       .";"       .";"       .";"    65.2";"     1.0";"    16.6";"     4.1";"     7.8";"     4.3";"     3.8";"    20.3";"    75.3"
"Laag onderwijsniveau";"Waarde";"2020";"    23.6";"    41.0";"    35.4";"    20.8";"    88.3";"     5.5";"    23.3";"    22.1";"    12.9";"    35.9";"    31.5";"    23.9";"    23.9";"    83.9";"     1.2";"     4.7";"     0.8";"     0.4";"     0.5";"     0.4";"     5.3";"    78.0"
"Middelbaar onderwijsniveau";"Waarde";"2020";"    23.4";"    37.7";"    38.9";"    17.7";"    75.4";"     3.3";"    14.1";"    20.9";"    10.1";"    27.2";"    37.0";"    20.1";"    19.8";"    79.1";"     1.1";"     6.2";"     1.3";"     2.4";"     1.7";"     1.7";"     8.6";"    79.9"
"Hoog onderwijsniveau";"Waarde";"2020";"    13.5";"    32.8";"    53.8";"     8.5";"    63.4";"     1.9";"    14.3";"    11.8";"     8.5";"    25.5";"    44.3";"    16.4";"    19.2";"    83.1";"     1.0";"     5.7";"     1.3";"     3.3";"     1.8";"     1.6";"     8.6";"    77.4"
"Vermogen: 1e 20%-groep";"Waarde";"2020";"    28.1";"    26.9";"    45.0";"    19.7";"    70.2";"     5.3";"    18.9";"    25.7";"    10.3";"    23.0";"    39.1";"    16.3";"    12.9";"    73.0";"     1.2";"    11.7";"     2.6";"     5.0";"     3.2";"     3.4";"    15.7";"    79.0"
"Vermogen: 2e 20%-groep";"Waarde";"2020";"    27.5";"    27.2";"    45.3";"    22.3";"    81.0";"     5.6";"    20.3";"    25.0";"    11.7";"    29.2";"    35.2";"    22.1";"    17.7";"    76.0";"     1.0";"    10.8";"     1.8";"     3.9";"     1.7";"     1.6";"    12.9";"    77.4"
"Vermogen: 3e 20%-groep";"Waarde";"2020";"    16.7";"    30.5";"    52.8";"    12.9";"    77.1";"     2.7";"    16.3";"    14.7";"    10.1";"    25.5";"    34.7";"    19.0";"    18.7";"    83.3";"     1.0";"     6.2";"     1.1";"     2.3";"     1.5";"     1.1";"     8.3";"    78.6"
"Vermogen: 4e 20%-groep";"Waarde";"2020";"    15.4";"    35.6";"    49.0";"    10.6";"    69.1";"     1.8";"    11.6";"    13.8";"     9.1";"    27.8";"    39.6";"    20.4";"    22.0";"    83.2";"     1.0";"     5.5";"     0.5";"     2.2";"     0.8";"     1.2";"     7.2";"    78.2"
"Vermogen: 5e 20%-groep";"Waarde";"2020";"    10.4";"    34.4";"    55.3";"     6.9";"    66.4";"     0.8";"     7.8";"     9.0";"     8.2";"    29.4";"    34.7";"    19.6";"    25.4";"    84.4";"     1.2";"     5.0";"     0.8";"     2.0";"     0.9";"     1.2";"     6.4";"    76.7"
